id,category,date,time,description,name,location,url,photo,notes,confirmed,maps_link_1,maps_link_2
e011,planned,2026-10-06,,Narukawa Art Museum,,Hakone,,narukawa_museum,,unconfirmed,"https://www.google.com/maps/place/Narukawa+Art+Museum/@35.199656,139.0232677,15.58z/data=!4m9!1m2!2m1!1shakone+shrine!3m5!1s0x6019987b54858bfb:0x21ddd54a4bf20d5b!8m2!3d35.2!4d139.0311111!16s%2Fm%2F0nbglfs!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e012,planned,2026-10-06,,Hakone Open-Air Museum,,Hakone,,hakone_open_air,,unconfirmed,"https://www.google.com/maps/place/The+Hakone+Open-Air+Museum/@35.2451644,139.0458562,17z/data=!3m1!4b1!4m6!3m5!1s0x6019a204a396f331:0x588e39a7e90a6c5f!8m2!3d35.2451601!4d139.0507271!16s%2Fm%2F0glpsnt!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e013,unplanned,2026-10-07,,Hakone - Hike,Hike,Hakone,,,,unconfirmed,"https://www.google.com/maps/place/Kintoki+Shrine/@35.2784204,139.0057161,14.75z/data=!4m6!3m5!1s0x60199fade127fa2d:0x70caa68d660aa610!8m2!3d35.2794721!4d139.002453!16s%2Fg%2F1hc3_4pr_!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e014,travel,2026-10-08,,Odawara → Kyoto,Shinkansen,,,train_shinkansen,,unconfirmed,"https://www.google.com/maps/place/Odawara+Station/@35.2499781,139.1348446,13.79z/data=!4m6!3m5!1s0x6019a45625cc38b3:0xc6ca84f1dee37f84!8m2!3d35.2560761!4d139.1557863!16s%2Fg%2F11c1pf9p9d!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/Kyoto+Station/@34.9858534,135.7561918,17z/data=!3m1!4b1!4m6!3m5!1s0x600108ae918b02ef:0xb61a446e74a21c08!8m2!3d34.985849!4d135.7587667!16zL20vMDIxMWRj!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D"
e015,unplanned,2026-10-08,,Southern Higashiyama,Culture,Kyoto,,,,unconfirmed,"https://www.google.com/maps/place/Higashiyama+Ward,+Kyoto,+Japan/@34.9904183,135.7574574,14z/data=!3m1!4b1!4m6!3m5!1s0x600108cce225a887:0xc757bcddd50f90b1!8m2!3d34.9926102!4d135.7748632!16zL20vMDZ6a3Js!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e016,unplanned,2026-10-08,,Kimono Rental,Culture,Kyoto,,,,unconfirmed,,
e017,unplanned,2026-10-08,,Gion District,Culture,Kyoto,,,,unconfirmed,"https://www.google.com/maps/place/Gion,+Higashiyama+Ward,+Kyoto,+Japan/@35.0044618,135.7737497,16z/data=!3m1!4b1!4m6!3m5!1s0x600108c3c1c67b67:0xdcb04aa1398efb4!8m2!3d35.0037816!4d135.777245!16zL20vMDN5NXNj!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e018,planned,2026-10-08,,Gion Kagai Art Museum,,Kyoto,,kagai_art_museum,,unconfirmed,"https://www.google.com/maps/place/Gion+Kagai+Art+Museum/@35.0012086,135.7728859,17z/data=!3m1!4b1!4m6!3m5!1s0x600109eb1bb91f51:0xe0217778b5ee1e18!8m2!3d35.0012042!4d135.7754608!16s%2Fg%2F11vz1t0_yj!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e019,unplanned,2026-10-09,,Arashiyama Area,,Kyoto,,,,unconfirmed,"https://www.google.com/maps/place/Arashiyama/@35.0100258,135.6711531,14.08z/data=!4m6!3m5!1s0x6001075451efd3e3:0xabaad64f597b014c!8m2!3d35.009449!4d135.666773!16zL20vMDI4aDNs!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e020,planned,2026-10-09,,Hozugawa Kudari Boat Ride,,Kyoto,,arashiyama_boat,,unconfirmed,"https://www.google.com/maps/place/Hozugawa+River+Boat+Ride+Start+Point/@35.0178193,135.5894561,15.54z/data=!3m1!5s0x600054c4a5d50dcd:0x30df9f6fa16f66b9!4m14!1m7!3m6!1s0x6001abebbf5c8bad:0xfb9ffc7bbdd67cdd!2sArashiyama+Bamboo+Forest!8m2!3d35.0168187!4d135.6713013!16s%2Fg%2F11bx1hnfm7!3m5!1s0x600054c4aef4efe5:0x33dcd3376bf7a157!8m2!3d35.017202!4d135.5868593!16s%2Fg%2F1260qbtb8!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e021,unplanned,2026-10-09,,kinkaku-ji (Golden Pavillion),Culture,Kyoto,,,,unconfirmed,"https://www.google.com/maps/place/Kinkaku-ji/@35.0393744,135.7266682,17z/data=!3m1!4b1!4m6!3m5!1s0x6001a820c0eb46bd:0xee4272b1c22645f!8m2!3d35.03937!4d135.7292431!16zL20vMDFrbjR3!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e022,unplanned,2026-10-09,,Fushimi Inari,Culture,Kyoto,,,,unconfirmed,"https://www.google.com/maps/place/Fushimi+Inari+Taisha/@34.9676989,135.7766127,17z/data=!3m1!4b1!4m6!3m5!1s0x60010f153d2e6d21:0x7b1aca1c753ae2e9!8m2!3d34.9676945!4d135.7791876!16zL20vMDVsZHJt!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e023,unplanned,2026-10-10,,Sakyo Ward,Culture,Kyoto,,,,unconfirmed,"https://www.google.com/maps/place/Sakyo+Ward,+Kyoto,+Japan/@35.0297464,135.775838,14.5z/data=!4m6!3m5!1s0x6001a44d9660209d:0xdc5794170f389408!8m2!3d35.0499048!4d135.7920324!16zL20vMDd2cG5m!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e024,unplanned,2026-10-11,,Spare day,,Kyoto,,,,unconfirmed,,
e025,unplanned,2026-10-12,,Katsuo-ji,Culture,Osaka,,,,unconfirmed,"https://www.google.com/maps/place/Katsuoji/@34.8657796,135.4885121,17z/data=!3m1!4b1!4m6!3m5!1s0x6000f979e7347fb5:0xd5ec671c17a3d34!8m2!3d34.8657752!4d135.491087!16s%2Fm%2F02609fz!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e026,unplanned,2026-10-12,,Minoh Park,Nature,Osaka,,,,unconfirmed,"https://www.google.com/maps/place/Minoh+Park+Insectarium/@34.8428448,135.4718206,16.71z/data=!4m14!1m7!3m6!1s0x6000f979e7347fb5:0xd5ec671c17a3d34!2sKatsuoji!8m2!3d34.8657752!4d135.491087!16s%2Fm%2F02609fz!3m5!1s0x6000fa2305538b4b:0x1e680bc4288da6cb!8m2!3d34.8410623!4d135.4715807!16s%2Fg%2F1227pxkq!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e027,unplanned,2026-10-12,,Dontonbori,Urban,Osaka,,,,unconfirmed,"https://www.google.com/maps/place/Dotonbori,+Chuo+Ward,+Osaka,+542-0071,+Japan/@34.6685368,135.5015172,17z/data=!3m1!4b1!4m6!3m5!1s0x6000e71526dc6083:0xe43d6b861e80b709!8m2!3d34.6686471!4d135.5030983!16s%2Fg%2F1pxxyn9jt!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e028,travel,2026-10-13,,Osaka → Koyasan,Gran Tenku,,,train_grantenku,,unconfirmed,"https://www.google.com/maps/place/Osaka+Station/@34.7024898,135.4933757,17z/data=!3m1!4b1!4m6!3m5!1s0x6000e68d95e3a70b:0x1baec822e859c84a!8m2!3d34.7024854!4d135.4959506!16zL20vMDFsczk3!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/Gokurakubashi+Station/@34.233974,135.5796639,17z/data=!3m1!4b1!4m6!3m5!1s0x6007279621ed74ab:0xbcc78ef9116e2bc1!8m2!3d34.2339696!4d135.5822388!16s%2Fm%2F047f1_q!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D"
e029,unplanned,2026-10-13,,Hike - Pilgrimage Trails,Hike,Koyasan,,,,unconfirmed,"https://www.google.com/maps/place/40th+Cho'ishi+Stone+Guidepost+of+K%C5%8Dyasan+ch%C5%8Dishi-michi+Pilgrimage+Route/@34.2231245,135.5467428,15.87z/data=!4m15!1m8!3m7!1s0x60072760fd70987d:0xa291bb22d7c5beb7!2sKoyasan,+Koya,+Ito+District,+Wakayama+648-0211,+Japan!3b1!8m2!3d34.2132003!4d135.5862663!16s%2Fg%2F1pxxpwvkx!3m5!1s0x600727016fca8717:0xf32457bbe5caf16a!8m2!3d34.2174528!4d135.5515048!16s%2Fg%2F11f8b4xb7j!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e030,planned,2026-10-13,,Okunoin Night Tour,,Koyasan,,okunoin_tour,,unconfirmed,"https://www.google.com/maps/place/Okuno-in+Cemetery/@34.2176977,135.6024782,17z/data=!3m1!4b1!4m6!3m5!1s0x6006d89dd666ecf7:0xd6f75878ad827821!8m2!3d34.2176933!4d135.6050531!16s%2Fg%2F11c59nj9tl!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e031,travel,2026-10-14,,Koyasan → Nara,Gran Tenku & Ayoniyoshi,,,train_aoniyoshi,,unconfirmed,"https://www.google.com/maps/place/Gokurakubashi+Station/@34.233974,135.5796639,17z/data=!3m1!4b1!4m6!3m5!1s0x6007279621ed74ab:0xbcc78ef9116e2bc1!8m2!3d34.2339696!4d135.5822388!16s%2Fm%2F047f1_q!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/Nara+Station/@34.680817,135.8163773,17z/data=!3m1!4b1!4m6!3m5!1s0x60013a2e385f520f:0xb7582b14784ae674!8m2!3d34.6808126!4d135.8189522!16s%2Fg%2F11b638n7tt!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D"
e032,unplanned,2026-10-14,,Nara Park,Nature,Nara,,,,unconfirmed,"https://www.google.com/maps/place/Nara+Park/@34.6838977,135.841833,16.71z/data=!4m14!1m7!3m6!1s0x6001393e2f20d2cd:0xffa9d592b2683e21!2sMt.+Kasuga+Primeval+Forest!8m2!3d34.6819737!4d135.8583789!16s%2Fm%2F0nbfg_j!3m5!1s0x60013996bd8c6061:0xf96cacf357447456!8m2!3d34.685047!4d135.843012!16s%2Fm%2F02pwmjl!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e033,travel,2026-10-15,,Nara → Tokyo,Shinkansen,,,train_shinkansen,,unconfirmed,"https://www.google.com/maps/place/Nara+Station/@34.680817,135.8163773,17z/data=!3m1!4b1!4m6!3m5!1s0x60013a2e385f520f:0xb7582b14784ae674!8m2!3d34.6808126!4d135.8189522!16s%2Fg%2F11b638n7tt!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/Tokyo+Station/@35.6813039,139.7644909,17z/data=!3m1!4b1!4m6!3m5!1s0x60188bfbd89f700b:0x277c49ba34ed38!8m2!3d35.6812996!4d139.7670658!16zL20vMDFfdnY3!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D"
e034,planned,2026-10-15,,Pokémon Cafe,,Tokyo,https://www.pokemon-cafe.jp/en/cafe/,pokemon_cafe,,unconfirmed,"https://www.google.com/maps/place/Pokemon+Cafe+Tokyo+Nihombashi/@35.6806428,139.7718583,17z/data=!3m2!4b1!5s0x601889578ea40c85:0x916b26dc001a1b79!4m6!3m5!1s0x601889578c05994f:0x4194b7a8a0458825!8m2!3d35.6806385!4d139.7744332!16s%2Fg%2F11hcsbc81c!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e035,unplanned,2026-10-15,,Asakusa,Urban,Tokyo,,,,unconfirmed,"https://www.google.com/maps/place/Asakusa,+Taito+City,+Tokyo+111-0032,+Japan/@35.7170729,139.7936002,16z/data=!3m1!4b1!4m6!3m5!1s0x60188ec2047f5333:0x7c84fd3881c74067!8m2!3d35.7185858!4d139.7958849!16zL20vMDFrNHJf!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e036,travel,2026-10-16,,Asakusa → Nikko,Spacia X,,,train_spaciax,,unconfirmed,"https://www.google.com/maps/place/Asakusa+Sta./@35.7156003,139.7951133,15.58z/data=!3m1!5s0x6018ec70797d9f11:0x3d6130b93aea7366!4m14!1m7!3m6!1s0x60188ec690127e2f:0xf41f021a3a02cff0!2sAsakusa+Sta.!8m2!3d35.7098669!4d139.7971675!16zL20vMGRxMWsx!3m5!1s0x60188ebfe83c45f1:0x730affb549f2d39f!8m2!3d35.7137953!4d139.7923968!16s%2Fg%2F121hd_45!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/Nikko+Station/@36.7474523,139.6194648,17z/data=!3m1!4b1!4m6!3m5!1s0x601fa0c50058feb7:0xaa70a4403876bb73!8m2!3d36.747448!4d139.6220397!16s%2Fg%2F1pzvm9rlj!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D"
e037,unplanned,2026-10-16,,Nikko,Culture,Nikko,,,,unconfirmed,"https://www.google.com/maps/place/Nikko,+Tochigi,+Japan/@35.7170729,139.7936002,16z/data=!4m6!3m5!1s0x601fa4b7c69ac8d1:0x6f526b42961dd1c0!8m2!3d36.7198987!4d139.6982361!16zL20vMDF3aDRj!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e038,travel,2026-10-16,,Nikko → Asakusa,Spacia X,,,train_spaciax,,unconfirmed,"https://www.google.com/maps/place/Nikko+Station/@36.7474523,139.6194648,17z/data=!3m1!4b1!4m6!3m5!1s0x601fa0c50058feb7:0xaa70a4403876bb73!8m2!3d36.747448!4d139.6220397!16s%2Fg%2F1pzvm9rlj!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/Asakusa+Sta./@35.7156003,139.7951133,15.58z/data=!3m1!5s0x6018ec70797d9f11:0x3d6130b93aea7366!4m14!1m7!3m6!1s0x60188ec690127e2f:0xf41f021a3a02cff0!2sAsakusa+Sta.!8m2!3d35.7098669!4d139.7971675!16zL20vMGRxMWsx!3m5!1s0x60188ebfe83c45f1:0x730affb549f2d39f!8m2!3d35.7137953!4d139.7923968!16s%2Fg%2F121hd_45!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D"
e039,unplanned,2026-10-17,,Shinjuku,Urban,Tokyo,,,,unconfirmed,"https://www.google.com/maps/place/Shinjuku+City,+Tokyo,+Japan/@35.701622,139.6885977,14z/data=!3m1!4b1!4m6!3m5!1s0x60188d2059b7fd4b:0xec61c68fe232efd2!8m2!3d35.6938253!4d139.7033559!16zL20vMDEyeGoy!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e040,unplanned,2026-10-17,,Shibuya,Urban,Tokyo,,,,unconfirmed,"https://www.google.com/maps/place/Shinjuku+City,+Tokyo,+Japan/@35.701622,139.6885977,14z/data=!3m1!4b1!4m6!3m5!1s0x60188d2059b7fd4b:0xec61c68fe232efd2!8m2!3d35.6938253!4d139.7033559!16zL20vMDEyeGoy!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e041,unplanned,2026-10-17,,Shibuya Sky,,Tokyo,,shibuya_sky,,unconfirmed,"https://www.google.com/maps/place/Shibuya+Sky/@35.6586762,139.6994099,17z/data=!3m2!4b1!5s0x60188b7b9c819b61:0x92144cdf397130f5!4m6!3m5!1s0x60188b6825f61ae1:0x6ff47ee61e522473!8m2!3d35.6586719!4d139.7019848!16s%2Fg%2F11hdvt_gp9!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e042,planned,2026-10-18,,Ghibli Museum,,Tokyo,,ghibli_museum,,unconfirmed,"https://www.google.com/maps/place/Ghibli+Museum/@35.6962423,139.5678568,17z/data=!3m2!4b1!5s0x6018ee34ef3b3c69:0x5694d16b01f4ecd8!4m6!3m5!1s0x6018ee34e5038c2d:0x4de155903f849205!8m2!3d35.696238!4d139.5704317!16zL20vMDY5MDY0!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e043,unplanned,2026-10-18,,Imperial Palace,Culture,Tokyo,,,,unconfirmed,"https://www.google.com/maps/place/Imperial+Palace/@35.6808266,139.7454492,15.46z/data=!4m15!1m8!3m7!1s0x60188cb2eb3108d1:0xf11cd9b2395b6677!2sShibuya,+Tokyo,+Japan!3b1!8m2!3d35.6619707!4d139.703795!16zL20vMDEyeGt5!3m5!1s0x60188c0d02d8064d:0xd11a5f0b379e6db7!8m2!3d35.685175!4d139.7527995!16zL20vMDFuZjI5!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e044,unplanned,2026-10-18,,Akihabara,Urban,Tokyo,,,,unconfirmed,"https://www.google.com/maps/place/Akihabara,+Taito+City,+Tokyo+110-0006,+Japan/@35.7028142,139.7682643,16.04z/data=!4m6!3m5!1s0x60188ea73ea6f4ff:0x5eb9f1e50fe061e3!8m2!3d35.7022589!4d139.7744733!16s%2Fg%2F11bc6tf5hn!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e045,unplanned,2026-10-19,,Odaiba,Urban,Tokyo,,,,unconfirmed,"https://www.google.com/maps/place/Odaiba,+Tokyo,+Japan/@35.6188805,139.7595883,14z/data=!3m1!4b1!4m6!3m5!1s0x601889f82c55d4cb:0x79fe8b211d2010b9!8m2!3d35.6205834!4d139.7805445!16zL20vMDI2dnc0!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e046,planned,2026-10-19,,Teamlab: Bordlerless,,Tokyo,https://www.teamlab.art/e/tokyo/,teamlabs_borderless,,unconfirmed,"https://www.google.com/maps/place/teamLab+Borderless:+MORI+Building+DIGITAL+ART+MUSEUM/@35.6620732,139.7406922,17z/data=!3m2!4b1!5s0x60188b9741cfc0d3:0xc91c5c5975739ded!4m6!3m5!1s0x601889fad49a9443:0x5831aba3288d2651!8m2!3d35.6620689!4d139.7432671!16s%2Fg%2F11ggvtjmjl!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e047,unplanned,2026-10-19,,Tokyo Tower,Urban,Tokyo,,,,unconfirmed,"https://www.google.com/maps/place/Tokyo+Tower/@35.6585848,139.742858,17z/data=!3m1!4b1!4m6!3m5!1s0x60188bbd9009ec09:0x481a93f0d2a409dd!8m2!3d35.6585805!4d139.7454329!16zL20vMDEzMl94!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e048,planned,2026-10-19,,Mori Museum,,Tokyo,,mori_museum,,unconfirmed,"https://www.google.com/maps/place/Mori+Art+Museum/@35.6604664,139.7267036,17z/data=!3m2!4b1!5s0x60188b770968fbdd:0xade6fa826b6e383d!4m6!3m5!1s0x60188b770f429483:0xff33d131dc8d6e9!8m2!3d35.6604621!4d139.7292785!16s%2Fm%2F0g5t56r!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
